ente,prestazione,priorita,max_giorni_di_attesa
ASSL3,Elettrocardiogramma dinamico (Holter),Differibile,0
ASSL3,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Differibile,250
ASSL3,Altri test cardiovascolari da sforzo,Differibile,n/a
ASSL3,Esame audiometrico tonale,Differibile,15
ASSL3,Spirometria semplice,Differibile,273
ASSL3,Spirometria globale,Differibile,145
ASSL3,Fotografia del Fondus,Differibile,n/a
ASSL3,Elettromiografia semplice [EMG],Differibile,7
ASSL3,Prima Visita cardiologica,Programmabile,111
ASSL3,Prima Visita chirurgia vascolare,Programmabile,331
ASSL3,Prima Visita endocrinologica,Programmabile,n/a
ASSL3,Prima Visita neurologica,Programmabile,197
ASSL3,Prima Visita oculistica,Programmabile,352
ASSL3,Prima Visita ortopedica,Programmabile,93
ASSL3,Prima Visita ginecologica,Programmabile,3
ASSL3,Prima Visita otorinolaringoiatrica,Programmabile,166
ASSL3,Prima Visita urologica,Programmabile,n/a
ASSL3,Prima Visita dermatologica,Programmabile,151
ASSL3,Prima Visita fisiatrica,Programmabile,100
ASSL3,Prima Visita gastroenterologica,Programmabile,n/a
ASSL3,Prima Visita oncologica,Programmabile,272
ASSL3,Prima Visita pneumologica,Programmabile,103
ASSL3,Mammografia bilaterale,Programmabile,70
ASSL3,Mammografia monolaterale,Programmabile,1
ASSL3,TC del torace,Programmabile,71
ASSL3,"TC del torace, senza e con contrasto",Programmabile,1
ASSL3,TC dell'addome superiore,Programmabile,n/a
ASSL3,"TC dell'addome superiore, senza e con contrasto",Programmabile,n/a
ASSL3,TC dell'Addome inferiore,Programmabile,n/a
ASSL3,"TC dell'Addome inferiore, senza e con contrasto",Programmabile,n/a
ASSL3,TC dell'Addome completo,Programmabile,n/a
ASSL3,"TC dell'Addome completo, senza e con contrasto",Programmabile,245
ASSL3,TC del cranio e dell'encefalo,Programmabile,75
ASSL3,"TC del cranio e dell'encefalo, senza e con contrasto",Programmabile,n/a
ASSL3,TC del rachide e dello speco vertebrale,Programmabile,n/a
ASSL3,"TC del rachide e dello speco vertebrale, senza e con contrasto",Programmabile,n/a
ASSL3,TC del Bacino,Programmabile,n/a
ASSL3,RM del cervello e del tronco encefalico,Programmabile,163
ASSL3,"RM del cervello e del tronco encefalico, senza e con contrasto",Programmabile,579
ASSL3,RM dell'addome inferiore e scavo pelvico,Programmabile,n/a
ASSL3,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Programmabile,n/a
ASSL3,RM della colonna,Programmabile,173
ASSL3,"RM della colonna, senza e con contrasto",Programmabile,n/a
ASSL3,Diagnostica ecografica del capo e del collo,Programmabile,149
ASSL3,Eco (color) dopplergrafia cardiaca,Programmabile,138
ASSL3,Eco (color) dopplergrafia  dei tronchi sovraaortici,Programmabile,106
ASSL3,Ecografia dell'addome superiore,Programmabile,35
ASSL3,Ecografia dell'addome inferiore,Programmabile,81
ASSL3,Ecografia dell'addome completo,Programmabile,123
ASSL3,Ecografia bilaterale della mammella,Programmabile,43
ASSL3,Ecografia monolaterale della mammella,Programmabile,0
ASSL3,Ecografia ostetrica,Programmabile,50
ASSL3,Ecografia ginecologica,Programmabile,6
ASSL3,Ecocolordoppler degli arti superioro o inferiori,Programmabile,298
ASSL3,Colonscopia con endoscopio flessibile,Programmabile,685
ASSL3,Polipectomia endoscopica dell'intestino crasso,Programmabile,n/a
ASSL3,Sigmoidoscopia con endoscopio flessibile,Programmabile,n/a
ASSL3,Esofagogastroduodenoscopia,Programmabile,n/a
ASSL3,Esofagogastroduodenoscopia con biopsia,Programmabile,494
ASSL3,Elettrocardiogramma,Programmabile,118
ASSL3,Elettrocardiogramma dinamico (Holter),Programmabile,n/a
ASSL3,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Programmabile,388
ASSL3,Altri test cardiovascolari da sforzo,Programmabile,n/a
ASSL3,Esame audiometrico tonale,Programmabile,15
ASSL3,Spirometria semplice,Programmabile,167
ASSL3,Spirometria globale,Programmabile,241
ASSL3,Fotografia del Fondus,Programmabile,n/a
ASSL3,Elettromiografia semplice [EMG],Programmabile,7
ASSL4,Prima Visita cardiologica,Breve,10
ASSL4,Prima Visita chirurgia vascolare,Breve,n/a
ASSL4,Prima Visita endocrinologica,Breve,n/a
ASSL4,Prima Visita neurologica,Breve,7
ASSL4,Prima Visita oculistica,Breve,n/a
ASSL4,Prima Visita ortopedica,Breve,n/a
ASSL4,Prima Visita ginecologica,Breve,n/a
ASSL4,Prima Visita otorinolaringoiatrica,Breve,2
ASSL4,Prima Visita urologica,Breve,n/a
ASSL4,Prima Visita dermatologica,Breve,n/a
ASSL4,Prima Visita fisiatrica,Breve,n/a
ASSL4,Prima Visita gastroenterologica,Breve,10
ASSL4,Prima Visita oncologica,Breve,n/a
ASSL4,Prima Visita pneumologica,Breve,n/a
ASSL4,Mammografia bilaterale,Breve,9
ASSL4,Mammografia monolaterale,Breve,n/a
ASSL4,TC del torace,Breve,7
ASSL4,"TC del torace, senza e con contrasto",Breve,n/a
ASSL4,TC dell'addome superiore,Breve,3
ASSL4,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL4,TC dell'Addome inferiore,Breve,n/a
ASSL4,"TC dell'Addome inferiore, senza e con contrasto",Breve,n/a
ASSL4,TC dell'Addome completo,Breve,n/a
ASSL4,"TC dell'Addome completo, senza e con contrasto",Breve,n/a
ASSL4,TC del cranio e dell'encefalo,Breve,n/a
ASSL4,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL4,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL4,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL4,TC del Bacino,Breve,n/a
ASSL4,RM del cervello e del tronco encefalico,Breve,n/a
ASSL4,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,n/a
ASSL4,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL4,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL4,RM della colonna,Breve,n/a
ASSL4,"RM della colonna, senza e con contrasto",Breve,n/a
ASSL4,Diagnostica ecografica del capo e del collo,Breve,7
ASSL4,Eco (color) dopplergrafia cardiaca,Breve,n/a
ASSL4,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,n/a
ASSL4,Ecografia dell'addome superiore,Breve,10
ASSL4,Ecografia dell'addome inferiore,Breve,8
ASSL4,Ecografia dell'addome completo,Breve,8
ASSL4,Ecografia bilaterale della mammella,Breve,8
ASSL4,Ecografia monolaterale della mammella,Breve,n/a
ASSL4,Ecografia ostetrica,Breve,n/a
ASSL4,Ecografia ginecologica,Breve,1
ASSL4,Ecocolordoppler degli arti superioro o inferiori,Breve,n/a
ASSL4,Colonscopia con endoscopio flessibile,Breve,n/a
ASSL4,Polipectomia endoscopica dell'intestino crasso,Breve,n/a
ASSL4,Sigmoidoscopia con endoscopio flessibile,Breve,n/a
ASSL4,Esofagogastroduodenoscopia,Breve,8
ASSL4,Esofagogastroduodenoscopia con biopsia,Breve,n/a
ASSL4,Elettrocardiogramma,Breve,10
ASSL4,Elettrocardiogramma dinamico (Holter),Breve,n/a
ASSL4,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Breve,n/a
ASSL4,Altri test cardiovascolari da sforzo,Breve,n/a
ASSL4,Esame audiometrico tonale,Breve,n/a
ASSL4,Spirometria semplice,Breve,n/a
ASSL4,Spirometria globale,Breve,n/a
ASSL4,Fotografia del Fondus,Breve,n/a
ASSL4,Elettromiografia semplice [EMG],Breve,n/a
ASSL4,Prima Visita cardiologica,Differibile,211
ASSL4,Prima Visita chirurgia vascolare,Differibile,n/a
ASSL4,Prima Visita endocrinologica,Differibile,5
ASSL4,Prima Visita neurologica,Differibile,24
ASSL4,Prima Visita oculistica,Differibile,105
ASSL4,Prima Visita ortopedica,Differibile,27
ASSL4,Prima Visita ginecologica,Differibile,n/a
ASSL4,Prima Visita otorinolaringoiatrica,Differibile,14
ASSL4,Prima Visita urologica,Differibile,74
ASSL4,Prima Visita dermatologica,Differibile,n/a
ASSL4,Prima Visita fisiatrica,Differibile,0
ASSL4,Prima Visita gastroenterologica,Differibile,20
ASSL4,Prima Visita oncologica,Differibile,n/a
ASSL4,Prima Visita pneumologica,Differibile,145
ASSL4,Mammografia bilaterale,Differibile,206
ASSL4,Mammografia monolaterale,Differibile,n/a
ASSL4,TC del torace,Differibile,57
ASSL4,"TC del torace, senza e con contrasto",Differibile,65
ASSL4,TC dell'addome superiore,Differibile,n/a
ASSL4,"TC dell'addome superiore, senza e con contrasto",Differibile,11
ASSL4,TC dell'Addome inferiore,Differibile,n/a
ASSL4,"TC dell'Addome inferiore, senza e con contrasto",Differibile,n/a
ASSL4,TC dell'Addome completo,Differibile,n/a
ASSL4,"TC dell'Addome completo, senza e con contrasto",Differibile,74
ASSL4,TC del cranio e dell'encefalo,Differibile,n/a
ASSL4,"TC del cranio e dell'encefalo, senza e con contrasto",Differibile,n/a
ASSL4,TC del rachide e dello speco vertebrale,Differibile,n/a
ASSL4,"TC del rachide e dello speco vertebrale, senza e con contrasto",Differibile,n/a
ASSL4,TC del Bacino,Differibile,n/a
ASSL4,RM del cervello e del tronco encefalico,Differibile,476
ASSL4,"RM del cervello e del tronco encefalico, senza e con contrasto",Differibile,469
ASSL4,RM dell'addome inferiore e scavo pelvico,Differibile,n/a
ASSL4,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Differibile,412
ASSL4,RM della colonna,Differibile,n/a
ASSL4,"RM della colonna, senza e con contrasto",Differibile,n/a
ASSL4,Diagnostica ecografica del capo e del collo,Differibile,68
ASSL4,Eco (color) dopplergrafia cardiaca,Differibile,180
ASSL4,Eco (color) dopplergrafia  dei tronchi sovraaortici,Differibile,60
ASSL4,Ecografia dell'addome superiore,Differibile,43
ASSL4,Ecografia dell'addome inferiore,Differibile,59
ASSL4,Ecografia dell'addome completo,Differibile,65
ASSL4,Ecografia bilaterale della mammella,Differibile,192
ASSL4,Ecografia monolaterale della mammella,Differibile,8
ASSL4,Ecografia ostetrica,Differibile,n/a
ASSL4,Ecografia ginecologica,Differibile,25
ASSL4,Ecocolordoppler degli arti superioro o inferiori,Differibile,n/a
ASSL4,Colonscopia con endoscopio flessibile,Differibile,114
ASSL4,Polipectomia endoscopica dell'intestino crasso,Differibile,n/a
ASSL4,Sigmoidoscopia con endoscopio flessibile,Differibile,n/a
ASSL4,Esofagogastroduodenoscopia,Differibile,90
ASSL4,Esofagogastroduodenoscopia con biopsia,Differibile,n/a
ASSL4,Elettrocardiogramma,Differibile,190
ASSL4,Elettrocardiogramma dinamico (Holter),Differibile,158
ASSL4,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Differibile,44
ASSL4,Altri test cardiovascolari da sforzo,Differibile,n/a
ASSL4,Esame audiometrico tonale,Differibile,n/a
ASSL4,Spirometria semplice,Differibile,182
ASSL4,Spirometria globale,Differibile,120
ASSL4,Fotografia del Fondus,Differibile,n/a
ASSL4,Elettromiografia semplice [EMG],Differibile,13
ASSL4,Prima Visita cardiologica,Programmabile,169
ASSL4,Prima Visita chirurgia vascolare,Programmabile,n/a
ASSL4,Prima Visita endocrinologica,Programmabile,n/a
ASSL4,Prima Visita neurologica,Programmabile,19
ASSL4,Prima Visita oculistica,Programmabile,83
ASSL4,Prima Visita ortopedica,Programmabile,81
ASSL4,Prima Visita ginecologica,Programmabile,30
ASSL4,Prima Visita otorinolaringoiatrica,Programmabile,7
ASSL4,Prima Visita urologica,Programmabile,224
ASSL4,Prima Visita dermatologica,Programmabile,n/a
ASSL4,Prima Visita fisiatrica,Programmabile,53
ASSL4,Prima Visita gastroenterologica,Programmabile,22
ASSL4,Prima Visita oncologica,Programmabile,n/a
ASSL4,Prima Visita pneumologica,Programmabile,192
ASSL4,Mammografia bilaterale,Programmabile,201
ASSL4,Mammografia monolaterale,Programmabile,n/a
ASSL4,TC del torace,Programmabile,92
ASSL4,"TC del torace, senza e con contrasto",Programmabile,126
ASSL4,TC dell'addome superiore,Programmabile,n/a
ASSL4,"TC dell'addome superiore, senza e con contrasto",Programmabile,68
ASSL4,TC dell'Addome inferiore,Programmabile,n/a
ASSL4,"TC dell'Addome inferiore, senza e con contrasto",Programmabile,n/a
ASSL4,TC dell'Addome completo,Programmabile,n/a
ASSL4,"TC dell'Addome completo, senza e con contrasto",Programmabile,59
ASSL4,TC del cranio e dell'encefalo,Programmabile,n/a
ASSL4,"TC del cranio e dell'encefalo, senza e con contrasto",Programmabile,n/a
ASSL4,TC del rachide e dello speco vertebrale,Programmabile,n/a
ASSL4,"TC del rachide e dello speco vertebrale, senza e con contrasto",Programmabile,n/a
ASSL4,TC del Bacino,Programmabile,n/a
ASSL4,RM del cervello e del tronco encefalico,Programmabile,490
ASSL4,"RM del cervello e del tronco encefalico, senza e con contrasto",Programmabile,500
ASSL4,RM dell'addome inferiore e scavo pelvico,Programmabile,n/a
ASSL4,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Programmabile,595
ASSL4,RM della colonna,Programmabile,n/a
ASSL4,"RM della colonna, senza e con contrasto",Programmabile,n/a
ASSL4,Diagnostica ecografica del capo e del collo,Programmabile,81
ASSL4,Eco (color) dopplergrafia cardiaca,Programmabile,93
ASSL4,Eco (color) dopplergrafia  dei tronchi sovraaortici,Programmabile,86
ASSL4,Ecografia dell'addome superiore,Programmabile,60
ASSL4,Ecografia dell'addome inferiore,Programmabile,n/a
ASSL4,Ecografia dell'addome completo,Programmabile,87
ASSL4,Ecografia bilaterale della mammella,Programmabile,180
ASSL4,Ecografia monolaterale della mammella,Programmabile,n/a
ASSL4,Ecografia ostetrica,Programmabile,n/a
ASSL4,Ecografia ginecologica,Programmabile,30
ASSL4,Ecocolordoppler degli arti superioro o inferiori,Programmabile,n/a
ASSL4,Colonscopia con endoscopio flessibile,Programmabile,118
ASSL4,Polipectomia endoscopica dell'intestino crasso,Programmabile,n/a
ASSL4,Sigmoidoscopia con endoscopio flessibile,Programmabile,n/a
ASSL4,Esofagogastroduodenoscopia,Programmabile,90
ASSL4,Esofagogastroduodenoscopia con biopsia,Programmabile,83
ASSL4,Elettrocardiogramma,Programmabile,191
ASSL4,Elettrocardiogramma dinamico (Holter),Programmabile,132
ASSL4,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Programmabile,25
ASSL4,Altri test cardiovascolari da sforzo,Programmabile,n/a
ASSL4,Esame audiometrico tonale,Programmabile,n/a
ASSL4,Spirometria semplice,Programmabile,195
ASSL4,Spirometria globale,Programmabile,157
ASSL4,Fotografia del Fondus,Programmabile,n/a
ASSL4,Elettromiografia semplice [EMG],Programmabile,42
ASSL5,Prima Visita cardiologica,Breve,n/a
ASSL5,Prima Visita chirurgia vascolare,Breve,n/a
ASSL5,Prima Visita endocrinologica,Breve,n/a
ASSL5,Prima Visita neurologica,Breve,8
ASSL5,Prima Visita oculistica,Breve,6
ASSL5,Prima Visita ortopedica,Breve,n/a
ASSL5,Prima Visita ginecologica,Breve,6
ASSL5,Prima Visita otorinolaringoiatrica,Breve,8
ASSL5,Prima Visita urologica,Breve,n/a
ASSL5,Prima Visita dermatologica,Breve,n/a
ASSL5,Prima Visita fisiatrica,Breve,n/a
ASSL5,Prima Visita gastroenterologica,Breve,n/a
ASSL5,Prima Visita oncologica,Breve,n/a
ASSL5,Prima Visita pneumologica,Breve,n/a
ASSL5,Mammografia bilaterale,Breve,n/a
ASSL5,Mammografia monolaterale,Breve,n/a
ASSL5,TC del torace,Breve,n/a
ASSL5,"TC del torace, senza e con contrasto",Breve,n/a
ASSL5,TC dell'addome superiore,Breve,n/a
ASSL5,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL5,TC dell'Addome inferiore,Breve,n/a
ASSL5,"TC dell'Addome inferiore, senza e con contrasto",Breve,n/a
ASSL5,TC dell'Addome completo,Breve,10
ASSL5,"TC dell'Addome completo, senza e con contrasto",Breve,7
ASSL5,TC del cranio e dell'encefalo,Breve,n/a
ASSL5,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL5,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL5,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL5,TC del Bacino,Breve,n/a
ASSL5,RM del cervello e del tronco encefalico,Breve,n/a
ASSL5,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,n/a
ASSL5,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL5,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL5,RM della colonna,Breve,n/a
ASSL5,"RM della colonna, senza e con contrasto",Breve,n/a
ASSL5,Diagnostica ecografica del capo e del collo,Breve,9
ASSL5,Eco (color) dopplergrafia cardiaca,Breve,3
ASSL5,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,n/a
ASSL5,Ecografia dell'addome superiore,Breve,3
ASSL5,Ecografia dell'addome inferiore,Breve,n/a
ASSL5,Ecografia dell'addome completo,Breve,8
ASSL5,Ecografia bilaterale della mammella,Breve,9
ASSL5,Ecografia monolaterale della mammella,Breve,n/a
ASSL5,Ecografia ostetrica,Breve,n/a
ASSL5,Ecografia ginecologica,Breve,n/a
ASSL5,Ecocolordoppler degli arti superioro o inferiori,Breve,n/a
ASSL5,Colonscopia con endoscopio flessibile,Breve,4
ASSL5,Polipectomia endoscopica dell'intestino crasso,Breve,n/a
ASSL5,Sigmoidoscopia con endoscopio flessibile,Breve,n/a
ASSL5,Esofagogastroduodenoscopia,Breve,n/a
ASSL5,Esofagogastroduodenoscopia con biopsia,Breve,n/a
ASSL5,Elettrocardiogramma,Breve,2
ASSL5,Elettrocardiogramma dinamico (Holter),Breve,n/a
ASSL5,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Breve,n/a
ASSL5,Altri test cardiovascolari da sforzo,Breve,n/a
ASSL5,Esame audiometrico tonale,Breve,5
ASSL5,Spirometria semplice,Breve,n/a
ASSL5,Spirometria globale,Breve,n/a
ASSL5,Fotografia del Fondus,Breve,n/a
ASSL5,Elettromiografia semplice [EMG],Breve,n/a
ASSL5,Prima Visita cardiologica,Differibile,120
ASSL5,Prima Visita chirurgia vascolare,Differibile,n/a
ASSL5,Prima Visita endocrinologica,Differibile,125
ASSL5,Prima Visita neurologica,Differibile,193
ASSL5,Prima Visita oculistica,Differibile,115
ASSL5,Prima Visita ortopedica,Differibile,30
ASSL5,Prima Visita ginecologica,Differibile,7
ASSL5,Prima Visita otorinolaringoiatrica,Differibile,45
ASSL5,Prima Visita urologica,Differibile,194
ASSL5,Prima Visita dermatologica,Differibile,119
ASSL5,Prima Visita fisiatrica,Differibile,99
ASSL5,Prima Visita gastroenterologica,Differibile,n/a
ASSL5,Prima Visita oncologica,Differibile,n/a
ASSL5,Prima Visita pneumologica,Differibile,n/a
ASSL5,Mammografia bilaterale,Differibile,48
ASSL5,Mammografia monolaterale,Differibile,n/a
ASSL5,TC del torace,Differibile,19
ASSL5,"TC del torace, senza e con contrasto",Differibile,n/a
ASSL5,TC dell'addome superiore,Differibile,n/a
ASSL5,"TC dell'addome superiore, senza e con contrasto",Differibile,n/a
ASSL5,TC dell'Addome inferiore,Differibile,n/a
ASSL5,"TC dell'Addome inferiore, senza e con contrasto",Differibile,n/a
ASSL5,TC dell'Addome completo,Differibile,3
ASSL5,"TC dell'Addome completo, senza e con contrasto",Differibile,25
ASSL5,TC del cranio e dell'encefalo,Differibile,n/a
ASSL5,"TC del cranio e dell'encefalo, senza e con contrasto",Differibile,n/a
ASSL5,TC del rachide e dello speco vertebrale,Differibile,n/a
ASSL5,"TC del rachide e dello speco vertebrale, senza e con contrasto",Differibile,n/a
ASSL5,TC del Bacino,Differibile,19
ASSL5,RM del cervello e del tronco encefalico,Differibile,4
ASSL5,"RM del cervello e del tronco encefalico, senza e con contrasto",Differibile,n/a
ASSL5,RM dell'addome inferiore e scavo pelvico,Differibile,n/a
ASSL5,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Differibile,n/a
ASSL5,RM della colonna,Differibile,21
ASSL5,"RM della colonna, senza e con contrasto",Differibile,n/a
ASSL5,Diagnostica ecografica del capo e del collo,Differibile,52
ASSL5,Eco (color) dopplergrafia cardiaca,Differibile,226
ASSL5,Eco (color) dopplergrafia  dei tronchi sovraaortici,Differibile,101
ASSL5,Ecografia dell'addome superiore,Differibile,50
ASSL5,Ecografia dell'addome inferiore,Differibile,75
ASSL5,Ecografia dell'addome completo,Differibile,87
ASSL5,Ecografia bilaterale della mammella,Differibile,106
ASSL5,Ecografia monolaterale della mammella,Differibile,n/a
ASSL5,Ecografia ostetrica,Differibile,n/a
ASSL5,Ecografia ginecologica,Differibile,43
ASSL5,Ecocolordoppler degli arti superioro o inferiori,Differibile,3
ASSL5,Colonscopia con endoscopio flessibile,Differibile,95
ASSL5,Polipectomia endoscopica dell'intestino crasso,Differibile,n/a
ASSL5,Sigmoidoscopia con endoscopio flessibile,Differibile,n/a
ASSL5,Esofagogastroduodenoscopia,Differibile,41
ASSL5,Esofagogastroduodenoscopia con biopsia,Differibile,331
ASSL5,Elettrocardiogramma,Differibile,73
ASSL5,Elettrocardiogramma dinamico (Holter),Differibile,139
ASSL5,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Differibile,n/a
ASSL5,Altri test cardiovascolari da sforzo,Differibile,n/a
ASSL5,Esame audiometrico tonale,Differibile,44
ASSL5,Spirometria semplice,Differibile,n/a
ASSL5,Spirometria globale,Differibile,n/a
ASSL5,Fotografia del Fondus,Differibile,n/a
ASSL5,Elettromiografia semplice [EMG],Differibile,n/a
ASSL5,Prima Visita cardiologica,Programmabile,111
ASSL5,Prima Visita chirurgia vascolare,Programmabile,n/a
ASSL5,Prima Visita endocrinologica,Programmabile,143
ASSL5,Prima Visita neurologica,Programmabile,218
ASSL5,Prima Visita oculistica,Programmabile,52
ASSL5,Prima Visita ortopedica,Programmabile,72
ASSL5,Prima Visita ginecologica,Programmabile,32
ASSL5,Prima Visita otorinolaringoiatrica,Programmabile,55
ASSL5,Prima Visita urologica,Programmabile,222
ASSL5,Prima Visita dermatologica,Programmabile,101
ASSL5,Prima Visita fisiatrica,Programmabile,96
ASSL5,Prima Visita gastroenterologica,Programmabile,n/a
ASSL5,Prima Visita oncologica,Programmabile,n/a
ASSL5,Prima Visita pneumologica,Programmabile,n/a
ASSL5,Mammografia bilaterale,Programmabile,151
ASSL5,Mammografia monolaterale,Programmabile,292
ASSL5,TC del torace,Programmabile,23
ASSL5,"TC del torace, senza e con contrasto",Programmabile,15
ASSL5,TC dell'addome superiore,Programmabile,n/a
ASSL5,"TC dell'addome superiore, senza e con contrasto",Programmabile,n/a
ASSL5,TC dell'Addome inferiore,Programmabile,n/a
ASSL5,"TC dell'Addome inferiore, senza e con contrasto",Programmabile,13
ASSL5,TC dell'Addome completo,Programmabile,n/a
ASSL5,"TC dell'Addome completo, senza e con contrasto",Programmabile,31
ASSL5,TC del cranio e dell'encefalo,Programmabile,20
ASSL5,"TC del cranio e dell'encefalo, senza e con contrasto",Programmabile,n/a
ASSL5,TC del rachide e dello speco vertebrale,Programmabile,n/a
ASSL5,"TC del rachide e dello speco vertebrale, senza e con contrasto",Programmabile,n/a
ASSL5,TC del Bacino,Programmabile,n/a
ASSL5,RM del cervello e del tronco encefalico,Programmabile,n/a
ASSL5,"RM del cervello e del tronco encefalico, senza e con contrasto",Programmabile,n/a
ASSL5,RM dell'addome inferiore e scavo pelvico,Programmabile,n/a
ASSL5,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Programmabile,n/a
ASSL5,RM della colonna,Programmabile,n/a
ASSL5,"RM della colonna, senza e con contrasto",Programmabile,n/a
ASSL5,Diagnostica ecografica del capo e del collo,Programmabile,146
ASSL5,Eco (color) dopplergrafia cardiaca,Programmabile,222
ASSL5,Eco (color) dopplergrafia  dei tronchi sovraaortici,Programmabile,127
ASSL5,Ecografia dell'addome superiore,Programmabile,81
ASSL5,Ecografia dell'addome inferiore,Programmabile,66
ASSL5,Ecografia dell'addome completo,Programmabile,100
ASSL5,Ecografia bilaterale della mammella,Programmabile,233
ASSL5,Ecografia monolaterale della mammella,Programmabile,n/a
ASSL5,Ecografia ostetrica,Programmabile,30
ASSL5,Ecografia ginecologica,Programmabile,24
ASSL5,Ecocolordoppler degli arti superioro o inferiori,Programmabile,169
ASSL5,Colonscopia con endoscopio flessibile,Programmabile,20
ASSL5,Polipectomia endoscopica dell'intestino crasso,Programmabile,n/a
ASSL5,Sigmoidoscopia con endoscopio flessibile,Programmabile,n/a
ASSL5,Esofagogastroduodenoscopia,Programmabile,150
ASSL5,Esofagogastroduodenoscopia con biopsia,Programmabile,326
ASSL5,Elettrocardiogramma,Programmabile,126
ASSL5,Elettrocardiogramma dinamico (Holter),Programmabile,141
ASSL5,Test cardiovascolare da sforzo con cicloergonometro o con pedana mobile,Programmabile,n/a
ASSL5,Altri test cardiovascolari da sforzo,Programmabile,n/a
ASSL5,Esame audiometrico tonale,Programmabile,26
ASSL5,Spirometria semplice,Programmabile,n/a
ASSL5,Spirometria globale,Programmabile,n/a
ASSL5,Fotografia del Fondus,Programmabile,n/a
ASSL5,Elettromiografia semplice [EMG],Programmabile,n/a
ASSL6,Prima Visita cardiologica,Breve,n/a
ASSL6,Prima Visita chirurgia vascolare,Breve,n/a
ASSL6,Prima Visita endocrinologica,Breve,n/a
ASSL6,Prima Visita neurologica,Breve,7
ASSL6,Prima Visita oculistica,Breve,6
ASSL6,Prima Visita ortopedica,Breve,n/a
ASSL6,Prima Visita ginecologica,Breve,n/a
ASSL6,Prima Visita otorinolaringoiatrica,Breve,n/a
ASSL6,Prima Visita urologica,Breve,n/a
ASSL6,Prima Visita dermatologica,Breve,n/a
ASSL6,Prima Visita fisiatrica,Breve,10
ASSL6,Prima Visita gastroenterologica,Breve,n/a
ASSL6,Prima Visita oncologica,Breve,n/a
ASSL6,Prima Visita pneumologica,Breve,n/a
ASSL6,Mammografia bilaterale,Breve,7
ASSL6,Mammografia monolaterale,Breve,n/a
ASSL6,TC del torace,Breve,6
ASSL6,"TC del torace, senza e con contrasto",Breve,9
ASSL6,TC dell'addome superiore,Breve,n/a
ASSL6,"TC dell'addome superiore, senza e con contrasto",Breve,n/a
ASSL6,TC dell'Addome inferiore,Breve,n/a
ASSL6,"TC dell'Addome inferiore, senza e con contrasto",Breve,n/a
ASSL6,TC dell'Addome completo,Breve,5
ASSL6,"TC dell'Addome completo, senza e con contrasto",Breve,9
ASSL6,TC del cranio e dell'encefalo,Breve,n/a
ASSL6,"TC del cranio e dell'encefalo, senza e con contrasto",Breve,n/a
ASSL6,TC del rachide e dello speco vertebrale,Breve,n/a
ASSL6,"TC del rachide e dello speco vertebrale, senza e con contrasto",Breve,n/a
ASSL6,TC del Bacino,Breve,6
ASSL6,RM del cervello e del tronco encefalico,Breve,n/a
ASSL6,"RM del cervello e del tronco encefalico, senza e con contrasto",Breve,369
ASSL6,RM dell'addome inferiore e scavo pelvico,Breve,n/a
ASSL6,"RM dell'addome inferiore e scavo pelvico, senza e con contrasto",Breve,n/a
ASSL6,RM della colonna,Breve,n/a
ASSL6,"RM della colonna, senza e con contrasto",Breve,369
ASSL6,Diagnostica ecografica del capo e del collo,Breve,7
ASSL6,Eco (color) dopplergrafia cardiaca,Breve,8
ASSL6,Eco (color) dopplergrafia  dei tronchi sovraaortici,Breve,6
ASSL6,Ecografia dell'addome superiore,Breve,4
ASSL6,Ecografia dell'addome inferiore,Breve,11
ASSL6,Ecografia dell'addome completo,Breve,7
ASSL6,Ecografia bilaterale della mammella,Breve,8
ASSL6,Ecografia monolaterale della mammella,Breve,n/a
